time=128948,accel_x= -0.04,accel_y= -0.08,accel_z= 0.00,gyro_x= -0.03,gyro_y= 0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.06,mag_z= 17.50,orientation_x= 102.56,orientation_y= 79.69,orientation_y= -94.12
time=128960,accel_x= 0.07,accel_y= -0.34,accel_z= 0.00,gyro_x= -0.02,gyro_y= 0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.06,mag_z= 17.50,orientation_x= 102.56,orientation_y= 79.69,orientation_y= -94.12
time=128970,accel_x= -0.10,accel_y= 0.03,accel_z= 0.10,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.56,orientation_y= 79.69,orientation_y= -94.06
time=128979,accel_x= -0.10,accel_y= 0.03,accel_z= 0.10,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.02,mag_x= -38.69,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.62,orientation_y= 79.69,orientation_y= -94.06
time=128990,accel_x= -0.03,accel_y= -0.10,accel_z= 0.03,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.62,orientation_y= 79.69,orientation_y= -94.06
time=129002,accel_x= -0.03,accel_y= -0.10,accel_z= -0.02,gyro_x= -0.02,gyro_y= -0.01,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.62,orientation_y= 79.69,orientation_y= -94.06
time=129012,accel_x= -0.03,accel_y= -0.09,accel_z= 0.02,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 16.69,orientation_x= 102.62,orientation_y= 79.62,orientation_y= -94.00
time=129023,accel_x= -0.03,accel_y= -0.12,accel_z= 0.04,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -37.56,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.69,orientation_y= 79.62,orientation_y= -94.00
time=129033,accel_x= -0.06,accel_y= -0.12,accel_z= 0.04,gyro_x= -0.02,gyro_y= -0.01,gyro_z= -0.01,mag_x= -37.56,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.69,orientation_y= 79.62,orientation_y= -94.00
time=129046,accel_x= -0.02,accel_y= -0.15,accel_z= 0.06,gyro_x= -0.02,gyro_y= -0.01,gyro_z= -0.01,mag_x= -37.56,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.69,orientation_y= 79.62,orientation_y= -94.00
time=129059,accel_x= -0.06,accel_y= -0.08,accel_z= -0.02,gyro_x= -0.02,gyro_y= -0.01,gyro_z= -0.01,mag_x= -37.56,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.69,orientation_y= 79.62,orientation_y= -94.00
time=129069,accel_x= -0.04,accel_y= -0.13,accel_z= 0.08,gyro_x= -0.03,gyro_y= -0.01,gyro_z= -0.01,mag_x= -37.56,mag_y= -15.75,mag_z= 16.69,orientation_x= 102.75,orientation_y= 79.62,orientation_y= -93.94
time=129078,accel_x= -0.06,accel_y= -0.12,accel_z= 0.00,gyro_x= -0.03,gyro_y= -0.01,gyro_z= -0.01,mag_x= -37.88,mag_y= -15.50,mag_z= 17.00,orientation_x= 102.75,orientation_y= 79.62,orientation_y= -93.94
